product_id,category_id,product_name,grade,quality,quantity_20,quantity_40,bulk_qty,commission,unit,del_place,country
1,1,HULLED SESAME SEED - 99.98%,Clean,"Purity 99% max, Mositure below 12%",18,26,0,0.5,percent,Mundra,101
2,1,HULLED SESAME SEED - 99.97%,Clean,"Purity 99% max, Mositure below 12%",18,26,0,0.5,percent,Mundra,101
3,1,HULLED SESAME SEED - 99.95%,Clean,"Purity 99% max, Mositure below 12%",18,26,0,0.5,percent,Mundra,101
4,1,HULLED SESAME SEED - 99.90%,Clean,"Purity 99% max, Mositure below 12%",18,26,0,0.5,percent,Mundra,101
5,1,NATURAL SESAME SEED - 99.1.1,Clean,"Purity 99% max, Mositure below 7%",18,26,0,0.5,percent,Mundra,101
6,1,NATURAL SESAME SEED - SORTEX,Clean,"Purity 99% max, Mositure below 12%",18,26,0,0.5,percent,Mundra,101
7,1,BLACK SESAME SEED - 99.1.1,Clean,"Purity 99% max, Mositure below 7%",18,26,0,0.5,percent,Mundra,101
8,1,JET BLACK SESAME SEED - SORTEX,Clean,"Purity 99% max, Mositure below 12%",18,26,0,0.5,percent,Mundra,101
9,1,BLACK SUNFLOWER SEED,Clean,"Purity 99% max, Mositure below 7%",13,25,0,0.5,percent,Mumbai,101
10,1,STRIP SUNFLOWER SEED,Clean,"Purity 99% max, Mositure below 7%",13,25,0,0.5,percent,Mumbai,101
11,1,NIGER SEED,Clean,"Purity 99% max, Mositure below 7%",18,26,19,0.5,percent,Mumbai,101
12,1,SAFFLOWER SEED,Clean,"Purity 99% max, Mositure below 7%",18,26,19,0.5,percent,Mumbai,101
13,1,LINSEED,Clean,"Purity 99% max, Mositure below 7%",20,0,0,0.5,percent,Mumbai,101
14,1,SOYABEAN,Clean,"Purity 99% max, Mositure below 7%",20,26,0,0.5,percent,Mumbai,101
15,1,YELLOW MUSTARD SEED,Clean,"Purity 99% max, Mositure below 7%",20,26,0,0.5,percent,Mumbai,101
16,1,BLACK MUSTARD SEED,Clean,"Purity 99% max, Mositure below 7%",20,26,0,0.5,percent,Mumbai,101
17,1,YELLOW MILLET,Clean,"Purity 99% max, Mositure below 12%",24,0,25,0.5,percent,Mumbai,101
18,1,RED MILLET,Clean,"Purity 99% max, Mositure below 12%",18,0,0,0.5,percent,Mumbai,101
19,1,YELLOW SORGHUM,Clean,"Purity 99% max, Mositure below 12%",24,0,0,0.5,percent,Mumbai,101
20,1,WHITE SORGHUM,Clean,"Purity 99% max, Mositure below 12%",24,0,0,0.5,percent,Mumbai,101
21,1,RED SORGHUM,Clean,"Purity 99% max, Mositure below 12%",24,0,0,0.5,percent,Mumbai,101
22,1,CREAMISH SORGHUM,Clean,"Purity 99% max, Mositure below 12%",24,0,0,0.5,percent,Mumbai,101
23,1,GREY MILLET/JAP MILLET,Clean,"Purity 99% max, Mositure below 12%",20,0,21,0.5,percent,Mumbai,101
